ObjectID,TrackID,Mean_YFP,Area_YFP,Slice,Mean_CFP,Area_CFP,YFP/CFP_Ratio
53,0.0,310.8,1073,1,201.7,1073,1.5409023301933567
531,0.0,300.7,988,2,198.1,988,1.5179202423018678
1022,0.0,309.9,1145,3,203.0,1145,1.5266009852216749
1517,0.0,309.1,1149,4,201.3,1149,1.53551912568306
1988,0.0,311.4,1126,5,202.7,1126,1.536260483473113
2465,0.0,316.0,972,6,205.0,972,1.5414634146341464
2992,0.0,313.9,823,7,203.2,823,1.5447834645669292
3534,0.0,302.5,832,8,198.1,832,1.5270065623422515
4082,0.0,310.4,848,9,201.6,848,1.5396825396825395
4645,0.0,322.0,918,10,207.5,918,1.5518072289156626
5202,0.0,330.3,901,11,209.3,901,1.5781175346392737
5884,0.0,313.6,957,12,201.0,957,1.5601990049751244
6407,0.0,302.5,883,13,196.4,883,1.540224032586558
6914,0.0,281.0,914,14,187.9,914,1.4954763171899947
7578,0.0,292.3,780,15,192.7,780,1.5168655941878568
8144,0.0,256.5,779,16,178.0,779,1.4410112359550562
8747,0.0,253.1,768,17,176.3,768,1.4356211003970503
9153,0.0,253.4,430,18,174.1,430,1.4554853532452614
21489,1.0,190.6,102,41,146.5,102,1.301023890784983
22056,1.0,163.4,841,42,137.8,841,1.1857764876632801
22610,1.0,163.7,844,43,137.6,844,1.1896802325581395
25632,2.0,281.6,270,49,186.9,270,1.5066880684858213
26188,2.0,313.6,416,50,201.4,416,1.5571002979145978
26833,2.0,323.3,461,51,203.4,461,1.589478859390364
27348,2.0,293.0,246,52,189.4,246,1.5469904963041181
27782,2.0,305.6,201,53,195.6,201,1.5623721881390595
345,3.0,578.5,514,1,302.2,514,1.914295168762409
759,3.0,562.0,614,2,295.6,614,1.9012178619756426
1315,3.0,520.3,553,3,287.7,553,1.808481056656239
1620,3.0,487.4,434,4,279.2,434,1.745702005730659
2143,3.0,491.6,442,5,277.0,442,1.7747292418772564
2698,3.0,463.0,385,6,266.9,385,1.7347321094042714
3205,3.0,427.1,310,7,254.4,310,1.6788522012578617
3834,3.0,413.1,320,8,244.8,320,1.6875
4424,3.0,418.5,226,9,240.0,226,1.74375
4873,3.0,420.0,299,10,233.6,299,1.797945205479452
5546,3.0,427.7,311,11,207.0,311,2.066183574879227
6090,3.0,375.5,289,12,197.8,289,1.8983822042467138
6692,3.0,280.9,198,13,171.9,198,1.6340895869691678
7327,3.0,240.1,174,14,161.5,174,1.486687306501548
7885,3.0,207.0,169,15,147.5,169,1.4033898305084747
24204,4.0,264.6,140,46,164.2,140,1.6114494518879419
24703,4.0,308.6,148,47,178.7,148,1.7269166200335762
26365,4.0,323.5,131,50,179.8,131,1.7992213570634037
26874,4.0,325.3,169,51,183.7,169,1.7708219923788788
27448,4.0,301.2,161,52,178.5,161,1.6873949579831933
6736,5.0,225.1,276,13,149.2,276,1.5087131367292226
7279,5.0,224.8,214,14,147.3,214,1.5261371350984385
7783,5.0,244.5,277,15,156.4,277,1.563299232736573
8306,5.0,265.9,330,16,164.7,330,1.6144505160898603
8830,5.0,269.2,305,17,161.7,305,1.6648113790970935
9358,5.0,281.9,324,18,169.8,324,1.6601884570082448
9768,5.0,274.2,312,19,169.0,312,1.6224852071005917
10366,5.0,281.1,333,20,169.6,333,1.657429245283019
10893,5.0,284.9,337,21,172.5,337,1.6515942028985506
11308,5.0,277.5,352,22,170.8,352,1.6247072599531616
11894,5.0,285.0,326,23,173.6,326,1.641705069124424
12619,5.0,301.8,294,24,182.3,294,1.6555128908392758
13051,5.0,297.3,296,25,179.0,296,1.6608938547486034
13535,5.0,292.5,386,26,174.8,386,1.673340961098398
14103,5.0,294.9,331,27,178.1,331,1.6558113419427287
14556,5.0,286.3,410,28,174.7,410,1.6388093875214655
15123,5.0,284.5,403,29,174.4,403,1.6313073394495412
15676,5.0,278.1,443,30,173.9,443,1.5991949396204717
16185,5.0,282.6,430,31,173.6,430,1.6278801843317974
16656,5.0,289.3,383,32,174.8,383,1.6550343249427917
17202,5.0,293.2,377,33,175.3,377,1.6725613234455219
17714,5.0,284.6,401,34,172.2,401,1.6527293844367017
18232,5.0,281.8,396,35,173.6,396,1.6232718894009217
18707,5.0,281.7,374,36,169.5,374,1.6619469026548672
19218,5.0,270.5,372,37,168.2,372,1.60820451843044
19723,5.0,270.5,334,38,168.1,334,1.6091612135633553
20220,5.0,273.6,308,39,165.2,308,1.656174334140436
20750,5.0,271.1,323,40,165.7,323,1.6360893180446592
21310,5.0,273.8,343,41,166.3,343,1.646422128683103
21910,5.0,258.8,319,42,163.2,319,1.5857843137254903
22291,5.0,261.4,280,43,164.0,280,1.59390243902439
22942,5.0,273.0,306,44,170.8,306,1.5983606557377048
23536,5.0,262.0,343,45,166.1,343,1.5773630343166767
24028,5.0,261.9,357,46,166.7,357,1.5710857828434313
24619,5.0,243.2,340,47,165.7,340,1.467712733856367
25197,5.0,257.6,382,48,166.8,382,1.5443645083932853
